Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,Closing Date,Closing Year,CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,QBFASSET,RESTYPE,RESTYPE1,SAVR
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",7-Nov-14,10508,11/7/2014,2014,34738,SB,"PALM DESERT, CA",2905,11/7/2014,10508,4074,"FRONTIER BANK, FSB",80736,FAILURE,PA,DIF
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,24-Oct-14,10507,10/24/2014,2014,916,N,"CHICAGO, IL",57737,10/24/2014,10507,4073,THE NATIONAL REPUBLIC BANK OF CHICAGO,843118,FAILURE,PA,DIF
NBRS Financial,Rising Sun,MD,4862,Howard Bank,17-Oct-14,10506,10/17/2014,2014,4862,SM,"RISING SUN, MD",19837,10/17/2014,10506,4072,NBRS FINANCIAL BANK,155353,FAILURE,PA,DIF
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",25-Jul-14,10505,7/25/2014,2014,28462,SB,"CHICAGO, IL",18412,7/25/2014,10505,4071,"GREENCHOICE BANK, FSB",70286,FAILURE,PA,DIF
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,18-Jul-14,10504,7/18/2014,2014,58125,NM,"CONYERS, GA",38334,7/18/2014,10504,4070,EASTSIDE COMMERCIAL BANK,173946,FAILURE,PA,DIF
The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,27-Jun-14,10503,6/27/2014,2014,12483,NM,"FREEDOM, OK",3734,6/27/2014,10503,4069,THE FREEDOM STATE BANK,22816,FAILURE,PA,DIF
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",20-Jun-14,10501,6/20/2014,2014,21793,NM,"FORT LAUDERDALE, FL",5439,6/20/2014,10501,4068,VALLEY BANK,81843,FAILURE,PA,DIF
Valley Bank,Moline,IL,10450,Great Southern Bank,20-Jun-14,10502,6/20/2014,2014,10450,NM,"MOLINE, IL",47807,6/20/2014,10502,4067,VALLEY BANK,456442,FAILURE,PA,DIF
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",30-May-14,10500,5/30/2014,2014,32368,SB,"BEL AIR, MD",10954,5/30/2014,10500,4066,SLAVIE FEDERAL SAVINGS BANK,140063,FAILURE,PA,DIF
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",23-May-14,10499,5/23/2014,2014,32284,SI,"CINCINNATI, OH",7224,5/23/2014,10499,4065,COLUMBIA SAVINGS BANK,36484,FAILURE,PA,DIF
AztecAmerica Bank,Berwyn,IL,57866,Republic Bank of Chicago,16-May-14,10498,5/16/2014,2014,57866,NM,"BERWYN, IL",21715,5/16/2014,10498,4064,AZTECAMERICA BANK,66309,FAILURE,PA,DIF
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,25-Apr-14,10497,4/25/2014,2014,15062,NM,"FAIRFAX, SC",22149,4/25/2014,10497,4063,ALLENDALE COUNTY BANK,49498,FAILURE,PA,DIF
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,28-Feb-14,10496,2/28/2014,2014,58531,NM,"HORSHAM, PA",8956,2/28/2014,10496,4062,VANTAGE POINT BANK,63453,FAILURE,PA,DIF
"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,28-Feb-14,10495,2/28/2014,2014,35096,N,"STERLING, VA",10940,2/28/2014,10495,4061,"MILLENNIUM BANK, NATIONAL ASSOCIATION",130305,FAILURE,PA,DIF
Syringa Bank,Boise,ID,34296,Sunwest Bank,31-Jan-14,10494,1/31/2014,2014,34296,NM,"BOISE, ID",3487,1/31/2014,10494,4060,SYRINGA BANK,153361,FAILURE,PA,DIF
The Bank of Union,El Reno,OK,17967,BancFirst,24-Jan-14,10493,1/24/2014,2014,17967,NM,"EL RENO, OK",93335,1/24/2014,10493,4059,THE  BANK OF UNION,317172,FAILURE,PA,DIF
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,17-Jan-14,10492,1/17/2014,2014,5732,N,"WEST CHICAGO, IL",1530,1/17/2014,10492,4058,DUPAGE NATIONAL BANK,53524,FAILURE,PA,DIF
"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",13-Dec-13,10491,12/13/2013,2013,57431,N,"THE WOODLANDS, TX",14203,12/13/2013,10491,4057,"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",159257,FAILURE,PA,DIF
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,30-Oct-13,10490,10/30/2013,2013,14794,NM,"GRACEVILLE, FL",5849,10/30/2013,10490,4056,BANK OF JACKSON COUNTY,24724,FAILURE,PA,DIF
First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,13-Sep-13,10488,9/13/2013,2013,14318,N,"EDINBURG, TX",616177,9/13/2013,10488,4054,FIRST NATIONAL BANK,3085764,FAILURE,PA,DIF
The Community's Bank,Bridgeport,CT,57041,No Acquirer,13-Sep-13,10489,9/13/2013,2013,57041,NM,"BRIDGEPORT, CT",9211,9/13/2013,10489,4055,THE COMMUNITY'S BANK,26368,FAILURE,PO,DIF
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",23-Aug-13,10487,8/23/2013,2013,34707,NM,"PHOENIX, AZ",15391,8/23/2013,10487,4053,SUNRISE BANK OF ARIZONA,202179,FAILURE,PA,DIF
Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",23-Aug-13,10486,8/23/2013,2013,19849,NM,"PARSONS, TN",129824,8/23/2013,10486,4052,COMMUNITY SOUTH BANK,386908,FAILURE,PA,DIF
Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,9-Aug-13,10485,8/9/2013,2013,35016,NM,"WAUSAU, WI",13428,8/9/2013,10485,4051,BANK OF WAUSAU,43564,FAILURE,PA,DIF
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,2-Aug-13,10484,8/2/2013,2013,34943,NM,"FORT MYERS, FL",24921,8/2/2013,10484,4050,FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA,247315,FAILURE,PA,DIF
Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association",7-Jun-13,10483,6/7/2013,2013,34789,N,"SEVIERVILLE, TN",33292,6/7/2013,10483,4049,MOUNTAIN NATIONAL BANK,437282,FAILURE,PA,DIF
1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,6-Jun-13,10482,6/6/2013,2013,58358,NM,"NORTH LAS VEGAS, NV",5208,6/6/2013,10482,4048,1st COMMERCE BANK,20152,FAILURE,PA,DIF
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",31-May-13,10478,5/31/2013,2013,35386,NM,"KENOSHA, WI",22564,5/31/2013,10478,4047,BANKS OF WISCONSIN,134024,FAILURE,PA,DIF
Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,14-May-13,10479,5/14/2013,2013,34527,NM,"SCOTTSDALE, AZ",5425,5/14/2013,10479,4046,CENTRAL ARIZONA BANK,31550,FAILURE,PA,DIF
Sunrise Bank,Valdosta,GA,58185,Synovus Bank,10-May-13,10481,5/10/2013,2013,58185,NM,"VALDOSTA, GA",16037,5/10/2013,10481,4044,SUNRISE BANK,60793,FAILURE,PA,DIF
Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",10-May-13,10480,5/10/2013,2013,58701,NM,"ASHEVILLE, NC",7943,5/10/2013,10480,4045,PISGAH COMMUNITY BANK,21880,FAILURE,PA,DIF
Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,26-Apr-13,10476,4/26/2013,2013,21649,NM,"DOUGLASVILLE, GA",89606,4/26/2013,10476,4042,DOUGLAS COUNTY BANK,317288,FAILURE,PA,DIF
Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",26-Apr-13,10477,4/26/2013,2013,57158,NM,"LENOIR, NC",16490,4/26/2013,10477,4043,PARKWAY BANK,109642,FAILURE,PA,DIF
Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,19-Apr-13,10473,4/19/2013,2013,58034,NM,"MARIANNA, FL",7920,4/19/2013,10473,4041,CHIPOLA COMMUNITY BANK,37471,FAILURE,PA,DIF
Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,19-Apr-13,10475,4/19/2013,2013,26680,NM,"ORANGE PARK, FL",25231,4/19/2013,10475,4039,HERITAGE BANK OF NORTH FLORIDA,103960,FAILURE,PA,DIF
First Federal Bank,Lexington,KY,29594,Your Community Bank,19-Apr-13,10474,4/19/2013,2013,29594,SB,"LEXINGTON, KY",7767,4/19/2013,10474,4040,FIRST FEDERAL BANK,92982,FAILURE,PA,DIF
Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",5-Apr-13,10472,4/5/2013,2013,58066,SM,"GOLD CANYON, AZ",8263,4/5/2013,10472,4038,GOLD CANYON BANK,42125,FAILURE,PA,DIF
Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,8-Mar-13,10471,3/8/2013,2013,16431,NM,"LAGRANGE, GA",73446,3/8/2013,10471,4037,FRONTIER BANK,258840,FAILURE,PA,DIF
Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,15-Feb-13,10470,2/15/2013,2013,22476,NM,"CHICAGO, IL",19576,2/15/2013,10470,4036,COVENANT BANK,58422,FAILURE,PA,DIF
1st Regents Bank,Andover,MN,57157,First Minnesota Bank,18-Jan-13,10469,1/18/2013,2013,57157,NM,"ANDOVER, MN",12229,1/18/2013,10469,4035,1ST REGENTS BANK,49626,FAILURE,PA,DIF
Westside Community Bank,University Place,WA,33997,Sunwest Bank,11-Jan-13,10468,1/11/2013,2013,33997,NM,"UNIVERSITY PLACE, WA",22860,1/11/2013,10468,4034,WESTSIDE COMMUNITY BANK,91935,FAILURE,PA,DIF
Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,14-Dec-12,10467,12/14/2012,2012,27331,NM,"SUNRISE, MO",13419,12/14/2012,10467,4033,COMMUNITY BANK OF THE OZARKS,42816,FAILURE,PA,DIF
Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association",16-Nov-12,10466,11/16/2012,2012,57928,NM,"BRASELTON, GA",39665,11/16/2012,10466,4032,HOMETOWN COMMUNITYBANK,124561,FAILURE,PA,DIF
Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,2-Nov-12,10464,11/2/2012,2012,3731,N,"PRINCETON, IL",32458,11/2/2012,10464,4030,CITIZENS FIRST NATIONAL BANK,923959,FAILURE,PA,DIF
Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,2-Nov-12,10465,11/2/2012,2012,35009,NM,"LUTZ, FL",73849,11/2/2012,10465,4031,HERITAGE BANK OF FLORIDA,225477,FAILURE,PA,DIF
NOVA Bank,Berwyn,PA,27148,No Acquirer,26-Oct-12,10463,10/26/2012,2012,27148,SI,"BERWYN, PA",85640,10/26/2012,10463,4029,NOVA BANK,444710,FAILURE,PO,DIF
Excel Bank,Sedalia,MO,19189,Simmons First National Bank,19-Oct-12,10460,10/19/2012,2012,19189,NM,"SEDALIA, MO",29582,10/19/2012,10460,4026,EXCEL BANK,186113,FAILURE,PA,DIF
First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,19-Oct-12,10461,10/19/2012,2012,28144,SB,"TAMARAC, FL",12370,10/19/2012,10461,4027,FIRST EAST SIDE SAVINGS BANK,65686,FAILURE,PA,DIF
GulfSouth Private Bank,Destin,FL,58073,SmartBank,19-Oct-12,10462,10/19/2012,2012,58073,NM,"DESTIN, FL",40360,10/19/2012,10462,4028,GULFSOUTH PRIVATE BANK,139391,FAILURE,PA,DIF
First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",28-Sep-12,10459,9/28/2012,2012,20685,NM,"CRETE, IL",33841,9/28/2012,10459,4025,FIRST UNITED BANK,328422,FAILURE,PA,DIF
Truman Bank,St. Louis,MO,27316,Simmons First National Bank,14-Sep-12,10458,9/14/2012,2012,27316,SM,"ST. LOUIS, MO",39469,9/14/2012,10458,4024,TRUMAN BANK,282338,FAILURE,PA,DIF
First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,7-Sep-12,10457,9/7/2012,2012,35246,NM,"BLOOMINGTON, MN",65213,9/7/2012,10457,4023,FIRST COMMERCIAL BANK,215867,FAILURE,PA,DIF
Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,3-Aug-12,10456,8/3/2012,2012,28243,SI,"WAUKEGAN, IL",23518,8/3/2012,10456,4022,WAUKEGAN SAVINGS BANK,83679,FAILURE,PA,DIF
Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,27-Jul-12,10455,7/27/2012,2012,16240,NM,"JASPER, GA",49244,7/27/2012,10455,4021,JASPER BANKING COMPANY,206672,FAILURE,PA,DIF
Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,20-Jul-12,10453,7/20/2012,2012,27986,SB,"CHICAGO, IL",86252,7/20/2012,10453,4017,SECOND FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO,190891,FAILURE,PA,DIF
Heartland Bank,Leawood,KS,1361,Metcalf Bank,20-Jul-12,10452,7/20/2012,2012,1361,NM,"LEAWOOD, KS",363,7/20/2012,10452,4016,HEARTLAND BANK,96002,FAILURE,PA,DIF
First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,20-Jul-12,10450,7/20/2012,2012,32711,NM,"WOODSTOCK, GA",36215,7/20/2012,10450,4018,FIRST CHEROKEE STATE BANK,209021,FAILURE,PA,DIF
Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,20-Jul-12,10451,7/20/2012,2012,57847,NM,"BUFORD, GA",25335,7/20/2012,10451,4020,GEORGIA TRUST BANK,116890,FAILURE,PA,DIF
The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,20-Jul-12,10454,7/20/2012,2012,57096,NM,"NAPLES, FL",16848,7/20/2012,10454,4019,THE ROYAL PALM BANK OF FLORIDA,78771,FAILURE,PA,DIF
Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,13-Jul-12,10449,7/13/2012,2012,1056,NM,"GLASGOW, MO",1396,7/13/2012,10449,4015,GLASGOW SAVINGS BANK,22341,FAILURE,PA,DIF
Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,6-Jul-12,10448,7/6/2012,2012,19498,NM,"AILEY, GA",65889,7/6/2012,10448,4014,MONTGOMERY BANK & TRUST,153208,FAILURE,PA,DIF
The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,15-Jun-12,10447,6/15/2012,2012,1690,NM,"LYNCHBURG, TN",33106,6/15/2012,10447,4011,THE FARMERS BANK OF LYNCHBURG,163859,FAILURE,PA,DIF
Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,15-Jun-12,10446,6/15/2012,2012,35299,NM,"MARIETTA, GA",44760,6/15/2012,10446,4013,SECURITY EXCHANGE BANK,150962,FAILURE,PA,DIF
Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,15-Jun-12,10445,6/15/2012,2012,27405,NM,"PALATKA, FL",28751,6/15/2012,10445,4012,PUTNAM STATE BANK,169489,FAILURE,PA,DIF
Waccamaw Bank,Whiteville,NC,34515,First Community Bank,8-Jun-12,10444,6/8/2012,2012,34515,SM,"WHITEVILLE, NC",23756,6/8/2012,10444,4009,WACCAMAW BANK,533114,FAILURE,PA,DIF
Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,8-Jun-12,10442,6/8/2012,2012,9257,NM,"SHABBONA, IL",10243,6/8/2012,10442,4008,FARMERS' AND TRADERS' STATE BANK,43077,FAILURE,PA,DIF
Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,8-Jun-12,10441,6/8/2012,2012,35372,SB,"CHARLESTON, SC",17649,6/8/2012,10441,4010,CAROLINA FEDERAL SAVINGS BANK,54373,FAILURE,PA,DIF
First Capital Bank,Kingfisher,OK,416,F & M Bank,8-Jun-12,10443,6/8/2012,2012,416,NM,"KINGFISHER, OK",8725,6/8/2012,10443,4007,FIRST CAPITAL BANK,44448,FAILURE,PA,DIF
"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,18-May-12,10440,5/18/2012,2012,35224,N,"SYLACAUGA, AL",10672,5/18/2012,10440,4006,"ALABAMA TRUST BANK, NATIONAL ASSOCIATION",51553,FAILURE,PA,DIF
"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,4-May-12,10439,5/4/2012,2012,23156,N,"NORTH LAUDERDALE, FL",15098,5/4/2012,10439,4005,"SECURITY BANK, NATIONAL ASSOCIATION",101026,FAILURE,PA,DIF
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,27-Apr-12,10437,4/27/2012,2012,23632,N,"PALM DESERT, CA",26331,4/27/2012,10437,4000,PALM DESERT NATIONAL BANK,129253,FAILURE,PA,DIF
Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,27-Apr-12,10438,4/27/2012,2012,32503,SB,"PAWLEYS ISLAND, SC",83230,4/27/2012,10438,4003,PLANTATION FEDERAL BANK,433512,FAILURE,PA,DIF
"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,27-Apr-12,10436,4/27/2012,2012,31495,SB,"MAPLE GROVE, MN",79681,4/27/2012,10436,4002,"INTER SAVINGS BANK, FSB D/B/A/ INTERBANK, FSB",463840,FAILURE,PA,DIF
HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,27-Apr-12,10435,4/27/2012,2012,57766,NM,"GAITHERSBURG, MD",26694,4/27/2012,10435,4004,HARVEST BANK OF MARYLAND,163019,FAILURE,PA,DIF
Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,27-Apr-12,10434,4/27/2012,2012,26759,SM,"CAMBRIDGE, MD",57900,4/27/2012,10434,4001,BANK OF THE EASTERN SHORE,162460,FAILURE,DINB,DIF
"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,20-Apr-12,10433,4/20/2012,2012,35527,SB,"FORT LEE, NJ",11925,4/20/2012,10433,3999,"FORT LEE FEDERAL SAVINGS BANK, FSB",48861,FAILURE,PA,DIF
Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,30-Mar-12,10432,3/30/2012,2012,33883,NM,"DEARBORN, MI",97229,3/30/2012,10432,3998,FIDELITY BANK,818237,FAILURE,PA,DIF
Premier Bank,Wilmette,IL,35419,International Bank of Chicago,23-Mar-12,10431,3/23/2012,2012,35419,NM,"WILMETTE, IL",69413,3/23/2012,10431,3996,PREMIER BANK,268703,FAILURE,PA,DIF
Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",23-Mar-12,10430,3/23/2012,2012,58068,NM,"ROCK SPRING, GA",30279,3/23/2012,10430,3997,CONVENANT BANK & TRUST,95725,FAILURE,PA,DIF
New City Bank,Chicago,IL,57597,No Acquirer,9-Mar-12,10429,3/9/2012,2012,57597,NM,"CHICAGO, IL",13465,3/9/2012,10429,3995,NEW CITY BANK,71202,FAILURE,PO,DIF
Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2-Mar-12,10428,3/2/2012,2012,34046,NM,"DORAVILLE, GA",40289,3/2/2012,10428,3994,GLOBAL COMMERCE BANK,143678,FAILURE,PA,DIF
Home Savings of America,Little Falls,MN,29178,No Acquirer,24-Feb-12,10427,2/24/2012,2012,29178,SB,"LITTLE FALLS, MN",43037,2/24/2012,10427,3993,HOME SAVINGS OF AMERICA,434111,FAILURE,PO,DIF
Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,24-Feb-12,10426,2/24/2012,2012,5687,NM,"ELLAVILLE, GA",51763,2/24/2012,10426,3992,CENTRAL BANK OF GEORGIA,278860,FAILURE,PA,DIF
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",10-Feb-12,10425,2/10/2012,2012,29761,SB,"SHELBYVILLE, IN",38269,2/10/2012,10425,3991,SCB BANK,182561,FAILURE,PA,DIF
Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",10-Feb-12,10424,2/10/2012,2012,23187,N,"HOFFMAN ESTATES, IL",18454,2/10/2012,10424,3990,CHARTER NATIONAL BANK AND TRUST,93894,FAILURE,PA,DIF
BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",27-Jan-12,10420,1/27/2012,2012,19869,SM,"KNOXVILLE, TN",74064,1/27/2012,10420,3987,BANKEAST,261947,FAILURE,PA,DIF
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,27-Jan-12,10422,1/27/2012,2012,34823,NM,"FOREST LAKE, MN",35346,1/27/2012,10422,3988,PATRIOT BANK MINNESOTA,105029,FAILURE,PA,DIF
Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,27-Jan-12,10423,1/27/2012,2012,35296,NM,"FRANKLIN, TN",351815,1/27/2012,10423,3989,TENNESSEE COMMERCE BANK,1009154,FAILURE,PA,DIF
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",27-Jan-12,10421,1/27/2012,2012,16579,NM,"JACKSONVILLE, FL",54383,1/27/2012,10421,3986,FIRST GUARANTY BANK AND TRUST COMPANY OF JACKSONVILLE,397082,FAILURE,PA,DIF
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",20-Jan-12,10417,1/20/2012,2012,31581,SB,"BOOTHWYN, PA",4671,1/20/2012,10417,3984,AMERICAN EAGLE SAVINGS BANK,19259,FAILURE,PA,DIF
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,20-Jan-12,10419,1/20/2012,2012,19252,NM,"STOCKBRIDGE, GA",192145,1/20/2012,10419,3983,THE FIRST STATE BANK,516760,FAILURE,PA,DIF
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",20-Jan-12,10418,1/20/2012,2012,57186,NM,"BELLEVIEW, FL",13697,1/20/2012,10418,3985,CENTRAL FLORIDA STATE BANK,71485,FAILURE,PA,DIF
Western National Bank,Phoenix,AZ,57917,Washington Federal,16-Dec-11,10416,12/16/2011,2011,57917,N,"PHOENIX, AZ",41735,12/16/2011,10416,3981,WESTERN NATIONAL BANK,162872,FAILURE,PA,DIF
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,16-Dec-11,10415,12/16/2011,2011,58343,NM,"CRESTVIEW, FL",25065,12/16/2011,10415,3982,PREMIER COMMUNITY BANK OF THE EMERALD COAST,125976,FAILURE,PA,DIF
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,18-Nov-11,10413,11/18/2011,2011,19657,NM,"LACOMBE, LA",48824,11/18/2011,10413,3980,CENTRAL PROGRESSIVE BANK,383132,FAILURE,PA,DIF
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,18-Nov-11,10414,11/18/2011,2011,14194,NM,"JOHNSTON, IA",16053,11/18/2011,10414,3979,POLK COUNTY BANK,91580,FAILURE,PA,DIF
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,10-Nov-11,10412,11/10/2011,2011,57860,NM,"ROCKMART, GA",20301,11/10/2011,10412,3978,COMMUNITY BANK OF ROCKMART,62383,FAILURE,PA,DIF
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,4-Nov-11,10411,11/4/2011,2011,57087,NM,"SAINT GEORGE, UT",43575,11/4/2011,10411,3977,SUNFIRST BANK,198081,FAILURE,PA,DIF
"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,4-Nov-11,10410,11/4/2011,2011,19397,NM,"OMAHA, NE",10944,11/4/2011,10410,3976,"MID CITY BANK, INC.",106075,FAILURE,PA,DIF
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,28-Oct-11,10409,10/28/2011,2011,57759,NM,"DES PLAINES, IL",13753,10/28/2011,10409,3975,ALL AMERICAN BANK,34800,FAILURE,PA,DIF
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",21-Oct-11,10405,10/21/2011,2011,21132,SM,"GREENWOOD VILLAGE, CO",169247,10/21/2011,10405,3971,COMMUNITY BANKS OF COLORADO,1280964,FAILURE,PA,DIF
Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,21-Oct-11,10406,10/21/2011,2011,57036,NM,"JONESBORO, GA",64965,10/21/2011,10406,3973,COMMUNITY CAPITAL BANK,165291,FAILURE,PA,DIF
Decatur First Bank,Decatur,GA,34392,Fidelity Bank,21-Oct-11,10407,10/21/2011,2011,34392,NM,"DECATUR, GA",24568,10/21/2011,10407,3972,DECATUR FIRST BANK,184750,FAILURE,PA,DIF
Old Harbor Bank,Clearwater,FL,57537,1st United Bank,21-Oct-11,10408,10/21/2011,2011,57537,NM,"CLEARWATER, FL",26299,10/21/2011,10408,3974,OLD HARBOR BANK,209048,FAILURE,PA,DIF
Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,14-Oct-11,10402,10/14/2011,2011,35395,NM,"ALEDO, IL",69305,10/14/2011,10402,3968,COUNTRY BANK,195034,FAILURE,PA,DIF
First State Bank,Cranford,NJ,58046,Northfield Bank,14-Oct-11,10403,10/14/2011,2011,58046,NM,"CRANFORD, NJ",45629,10/14/2011,10403,3970,FIRST STATE BANK,191852,FAILURE,PA,DIF
"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,14-Oct-11,10401,10/14/2011,2011,32347,SI,"ASHEVILLE, NC",44112,10/14/2011,10401,3967,"BLUE RIDGE SAVINGS BANK, INC.",161430,FAILURE,PA,DIF
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,14-Oct-11,10404,10/14/2011,2011,57256,NM,"GRAY, GA",88194,10/14/2011,10404,3969,PIEDMONT COMMUNITY BANK,198993,FAILURE,PA,DIF
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,7-Oct-11,10400,10/7/2011,2011,20115,NM,"ELLINGTON, MO",93109,10/7/2011,10400,3966,SUN SECURITY BANK,351492,FAILURE,PA,DIF
The RiverBank,Wyoming,MN,10216,Central Bank,7-Oct-11,10399,10/7/2011,2011,10216,NM,"WYOMING, MN",71176,10/7/2011,10399,3965,THE RIVERBANK,419723,FAILURE,PA,DIF
First International Bank,Plano,TX,33513,American First National Bank,30-Sep-11,10398,9/30/2011,2011,33513,NM,"PLANO, TX",58022,9/30/2011,10398,3964,FIRST INTERNATIONAL BANK,239916,FAILURE,PA,DIF
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,23-Sep-11,10397,9/23/2011,2011,33983,NM,"NEVADA CITY, CA",40895,9/23/2011,10397,3963,CITIZENS BANK OF NORTHERN CALIFORNIA,288765,FAILURE,PA,DIF
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,23-Sep-11,10396,9/23/2011,2011,20408,SM,"NORFOLK, VA",238799,9/23/2011,10396,3962,BANK OF THE COMMONWEALTH,985096,FAILURE,PA,DIF
The First National Bank of Florida,Milton,FL,25155,CharterBank,9-Sep-11,10395,9/9/2011,2011,25155,N,"MILTON, FL",75749,9/9/2011,10395,3961,THE FIRST NATIONAL BANK OF FLORIDA,296841,FAILURE,PA,DIF
